trial_index,pre_release_action_penalty,pre_release_const_penalty,progress_shaping_scale,run_dir,success_rate,mean_reward,best_distance,total_timesteps,trial_time_sec
0,0.0001,0.0005,1.0,runs/reward_sweep_000_pre_releas=0.0001_pre_releas=0.0005_progress_s=1,,,,,0.4724729061126709
1,0.0001,0.0005,2.0,runs/reward_sweep_001_pre_releas=0.0001_pre_releas=0.0005_progress_s=2,,,,,0.22308993339538574
2,0.0001,0.0005,3.0,runs/reward_sweep_002_pre_releas=0.0001_pre_releas=0.0005_progress_s=3,,,,,0.22587084770202637
3,0.0001,0.001,1.0,runs/reward_sweep_003_pre_releas=0.0001_pre_releas=0.001_progress_s=1,,,,,0.22887516021728516
4,0.0001,0.001,2.0,runs/reward_sweep_004_pre_releas=0.0001_pre_releas=0.001_progress_s=2,,,,,0.23266196250915527
5,0.0001,0.001,3.0,runs/reward_sweep_005_pre_releas=0.0001_pre_releas=0.001_progress_s=3,,,,,0.2503931522369385
6,0.0001,0.002,1.0,runs/reward_sweep_006_pre_releas=0.0001_pre_releas=0.002_progress_s=1,,,,,0.24296903610229492
7,0.0001,0.002,2.0,runs/reward_sweep_007_pre_releas=0.0001_pre_releas=0.002_progress_s=2,,,,,0.21529221534729004
8,0.0001,0.002,3.0,runs/reward_sweep_008_pre_releas=0.0001_pre_releas=0.002_progress_s=3,,,,,0.2160489559173584
9,0.0005,0.0005,1.0,runs/reward_sweep_009_pre_releas=0.0005_pre_releas=0.0005_progress_s=1,,,,,0.21622610092163086
10,0.0005,0.0005,2.0,runs/reward_sweep_010_pre_releas=0.0005_pre_releas=0.0005_progress_s=2,,,,,0.21541094779968262
11,0.0005,0.0005,3.0,runs/reward_sweep_011_pre_releas=0.0005_pre_releas=0.0005_progress_s=3,,,,,0.2200489044189453
12,0.0005,0.001,1.0,runs/reward_sweep_012_pre_releas=0.0005_pre_releas=0.001_progress_s=1,,,,,0.21518898010253906
13,0.0005,0.001,2.0,runs/reward_sweep_013_pre_releas=0.0005_pre_releas=0.001_progress_s=2,,,,,0.21506810188293457
14,0.0005,0.001,3.0,runs/reward_sweep_014_pre_releas=0.0005_pre_releas=0.001_progress_s=3,,,,,0.22073602676391602
15,0.0005,0.002,1.0,runs/reward_sweep_015_pre_releas=0.0005_pre_releas=0.002_progress_s=1,,,,,0.21492981910705566
16,0.0005,0.002,2.0,runs/reward_sweep_016_pre_releas=0.0005_pre_releas=0.002_progress_s=2,,,,,0.21492981910705566
17,0.0005,0.002,3.0,runs/reward_sweep_017_pre_releas=0.0005_pre_releas=0.002_progress_s=3,,,,,0.21792912483215332
18,0.001,0.0005,1.0,runs/reward_sweep_018_pre_releas=0.001_pre_releas=0.0005_progress_s=1,,,,,0.2612030506134033
19,0.001,0.0005,2.0,runs/reward_sweep_019_pre_releas=0.001_pre_releas=0.0005_progress_s=2,,,,,0.22302603721618652
20,0.001,0.0005,3.0,runs/reward_sweep_020_pre_releas=0.001_pre_releas=0.0005_progress_s=3,,,,,0.21426820755004883
21,0.001,0.001,1.0,runs/reward_sweep_021_pre_releas=0.001_pre_releas=0.001_progress_s=1,,,,,0.21487736701965332
22,0.001,0.001,2.0,runs/reward_sweep_022_pre_releas=0.001_pre_releas=0.001_progress_s=2,,,,,0.2147681713104248
23,0.001,0.001,3.0,runs/reward_sweep_023_pre_releas=0.001_pre_releas=0.001_progress_s=3,,,,,0.2166900634765625
24,0.001,0.002,1.0,runs/reward_sweep_024_pre_releas=0.001_pre_releas=0.002_progress_s=1,,,,,0.21325922012329102
25,0.001,0.002,2.0,runs/reward_sweep_025_pre_releas=0.001_pre_releas=0.002_progress_s=2,,,,,0.2130870819091797
26,0.001,0.002,3.0,runs/reward_sweep_026_pre_releas=0.001_pre_releas=0.002_progress_s=3,,,,,0.21442604064941406
