#{"t_start": 1775033592.2373734, "env_id": "None"}
r,l,t
0.828539,14,2.902766
1.942431,32,3.440969
0.266798,10,4.000667
12.084073,225,4.603368
0.178262,6,5.166795
0.393185,52,5.749279
1.234507,36,6.294568
0.250853,28,6.859027
1.20938,26,7.392835
12.822909,240,8.026477
0.44654,30,8.561914
0.692472,30,9.128833
12.528851,240,9.726171
0.323382,5,10.287395
12.963208,240,10.929232
0.149323,20,11.46
1.579528,64,12.040741
1.073988,17,12.576553
2.517954,40,13.151047
0.585986,15,13.676908
1.491227,68,14.260296
0.515222,11,14.826668
12.813645,240,15.439746
0.115517,52,16.024276
6.503967,116,16.609772
0.678955,86,17.218093
0.293435,16,17.746776
0.339864,6,18.311647
0.874569,12,18.880918
6.165173,113,19.94541
0.462305,9,20.479792
0.175424,6,21.045852
3.78495,68,21.601612
1.650641,29,22.154291
4.833591,89,22.70919
0.539836,46,23.278106
1.408877,10,23.816032
8.790979,88,24.407354
1.077132,7,24.982814
1.953143,59,25.533719
2.677875,31,26.108828
5.884171,103,26.666157
7.17205,132,27.274292
2.692438,13,27.80406
2.855676,11,28.386824
0.33727,9,28.91994
2.578542,47,29.499507
1.352162,33,30.062484
9.167011,129,30.626907
1.999558,18,31.19147
0.122054,49,31.73601
3.44593,59,32.322136
0.72062,27,32.863427
0.610884,8,33.423388
4.264538,90,33.98287
3.161166,57,34.556651
12.813549,240,35.196289
3.736415,41,35.735811
0.345966,14,36.293869
0.923576,26,36.831728
1.361548,6,37.392526
5.358509,23,37.931412
7.649864,142,38.538695
3.249127,19,39.064331
0.379324,21,39.632516
3.518555,25,40.20029
1.244916,6,40.728191
1.388218,36,41.304909
0.297253,20,41.833505
0.175025,15,42.399064
0.321005,7,42.930096
0.988276,10,43.497899
0.290523,16,44.033572
0.234896,7,44.597828
0.288139,25,45.170963
0.184597,17,45.701904
0.278036,8,46.285363
0.129333,38,46.826945
0.205525,7,47.383529
12.800548,240,48.479748
0.603831,16,49.004092
12.813477,240,49.64252
2.881496,23,50.207755
0.689964,21,50.740767
0.20966,25,51.309411
2.48114,41,51.848509
10.268856,191,52.463877
6.756667,123,54.216055
2.599941,43,54.784345
4.186501,10,55.341047
12.752579,240,55.948584
2.054533,36,56.51701
5.208414,94,57.069168
1.74113,31,57.633078
1.124501,5,58.157642
0.176247,9,58.726105
0.286201,6,59.259082
1.229596,13,59.828917
6.38677,117,60.429005
0.43583,12,60.962971
1.152771,7,61.528046
1.21372,23,62.067285
12.812414,240,62.708172
5.133886,16,63.232567
1.994995,36,63.80573
0.405188,38,64.340244
0.404652,25,64.90351
3.845345,72,65.484924
7.502227,25,66.020583
0.136158,44,67.108898
1.097402,94,67.693856
10.886928,202,68.27774
0.437409,51,68.830362
0.268118,5,69.366745
12.868572,240,70.007643
10.127588,187,70.626274
1.156488,80,71.158341
0.615921,12,71.720753
7.069321,130,72.290739
1.432365,7,72.85352
0.393014,22,73.392589
0.210075,20,73.958664
3.821443,67,74.507023
12.808533,240,75.126219
1.703218,26,75.697893
0.149531,5,76.22249
0.376155,47,76.80217
0.642372,7,77.324362
0.189352,27,77.898285
0.138621,20,78.428726
0.226826,13,78.993691
0.23516,5,79.508027
3.634659,63,80.093821
0.303481,30,80.6673
0.581219,99,81.222301
1.228107,35,81.786385
12.271726,240,82.383911
0.150363,39,82.955221
0.150836,14,83.480998
1.418133,20,84.538994
5.382796,100,85.126676
1.004553,56,85.725499
12.798855,240,86.319896
0.420827,5,86.880473
1.447521,27,87.421609
0.311312,87,88.007472
0.363753,5,88.531685
5.873561,108,89.152668
0.629437,10,89.684638
2.246702,38,90.24334
0.105305,35,90.810521
14.532848,102,91.366763
1.723951,186,91.990228
12.813177,240,92.594929
0.176583,24,93.15948
12.821253,240,93.761973
0.210178,27,94.32715
6.994401,129,94.894429
3.728895,41,95.431539
0.354531,29,95.747279
8.275259,152,97.50825
8.034071,41,98.084303
0.30765,22,98.611628
0.259162,10,99.174758
0.242341,61,99.724878
0.236925,42,100.79527
0.799591,11,101.361477
12.816855,240,102.018656
8.787094,158,102.591325
11.919358,222,103.227851
8.441602,160,103.575473
0.128817,116,104.178689
