#{"t_start": 1775201385.4960334, "env_id": "None"}
r,l,t
2.485921,28,3.10524
0.631582,31,3.639175
1.213294,36,4.173712
1.736397,45,4.742293
0.691132,32,5.273876
12.996816,240,5.903289
0.643563,30,6.440396
3.244917,54,7.014945
12.996816,240,7.623982
1.552839,32,8.192447
1.91983,34,8.530077
0.439502,25,9.092166
12.996816,240,9.693006
2.684298,44,10.265325
1.328991,39,10.830245
12.996816,240,11.427368
0.992921,35,11.997438
1.253431,36,12.531321
1.610156,43,13.100909
3.071492,53,13.637493
0.576111,29,14.21325
0.625307,31,14.748515
2.592334,42,15.318908
1.338595,37,15.883385
12.996816,240,16.481259
0.287592,27,17.049984
0.603477,34,17.585295
1.985779,49,18.157004
0.775572,36,19.248402
0.973111,33,19.786438
2.729761,29,20.352372
3.340368,51,20.92672
0.76369,33,21.471084
2.255236,34,22.042701
0.758514,34,22.588175
0.7367,33,23.155121
3.591917,59,23.696817
0.96359,36,24.27376
12.996816,240,24.871663
2.575073,63,25.450252
1.160525,39,26.025989
0.532704,30,26.558314
2.152683,43,27.128353
0.483945,27,27.656822
12.996816,240,28.288542
12.996816,240,28.890418
4.297808,90,29.477241
12.996816,240,30.108175
