#{"t_start": 1775201532.759365, "env_id": "None"}
r,l,t
2.485921,28,2.871546
0.631582,31,17.263087
1.213294,36,17.851912
1.736397,45,18.388275
0.691132,32,18.917185
12.996816,240,19.51164
0.643563,30,20.050717
3.244917,54,20.591908
12.996816,240,21.249768
1.552839,32,21.820169
1.91983,34,22.354472
0.439502,25,22.885409
12.996816,240,23.519202
2.684298,44,24.097087
1.328991,39,24.640468
12.996816,240,25.234954
0.992921,35,25.806973
1.253431,36,26.340924
1.610156,43,26.910749
3.071492,53,27.44708
0.576111,29,28.023761
0.625307,31,28.558008
2.592334,42,29.128325
1.338595,37,29.660667
12.996816,240,30.290303
0.287592,27,30.825605
0.603477,34,31.394624
1.985779,49,31.932955
0.775572,36,32.994246
0.973111,33,33.562676
2.729761,29,34.095459
3.340368,51,34.669816
