#{"t_start": 1775202080.3727136, "env_id": "None"}
r,l,t
2.485921,28,2.866172
0.631582,31,21.117315
1.213294,36,21.681728
1.736397,45,22.218905
0.691132,32,22.715671
12.996816,240,23.309458
0.643563,30,23.881909
3.244917,54,24.469283
12.996816,240,25.063367
1.552839,32,25.622519
1.91983,34,26.138016
0.439502,25,26.701578
12.996816,240,27.312368
2.684298,44,27.738385
1.328991,39,28.270462
12.996816,240,28.908661
0.992921,35,29.453608
1.253431,36,29.991589
1.610156,43,30.523182
3.071492,53,31.094049
0.576111,29,31.638897
0.625307,31,32.204712
2.592334,42,32.742896
1.338595,37,33.307611
12.996816,240,33.902821
0.287592,27,34.439337
0.603477,34,35.007851
1.985779,49,35.546606
0.775572,36,36.607377
0.973111,33,36.979454
2.729761,29,37.508842
3.340368,51,38.084206
0.76369,33,38.626976
2.255236,34,39.160773
0.758514,34,39.727998
0.7367,33,40.261204
3.591917,59,40.802776
0.96359,36,41.346195
12.996816,240,41.94328
2.575073,63,42.488952
1.160525,39,43.03209
0.532704,30,43.562854
2.152683,43,44.100664
0.483945,27,44.629446
12.996816,240,45.226615
12.996816,240,45.828812
4.297808,90,46.383198
12.996816,240,46.978735
1.490615,39,47.519594
1.390359,29,48.04907
2.285048,39,48.590992
0.562221,29,49.133601
0.710651,31,49.667711
2.398826,40,50.204354
2.292688,37,50.737272
2.412172,32,51.269195
0.5204,27,51.801517
1.881711,39,52.339132
2.499152,43,52.87376
2.408395,31,53.4041
12.996816,240,54.492943
0.899389,34,55.023904
12.996816,240,55.655632
2.004851,35,56.196002
0.691285,33,56.757839
1.693765,30,57.290074
12.996816,240,57.888679
3.548567,58,59.6642
1.496307,41,60.246107
0.665345,33,60.777557
0.644493,31,61.310605
0.683401,32,61.844696
12.996816,240,62.441763
2.465682,38,62.981669
2.496612,39,63.515038
1.87996,34,64.046908
2.278226,32,64.580111
1.945523,34,65.114133
1.029935,37,65.648865
1.354562,37,66.182556
12.996816,240,66.780641
1.661068,40,67.318135
3.012444,51,67.855414
2.911638,27,68.39814
1.736663,47,68.938772
0.775493,36,69.468347
0.599571,32,70.000585
0.718,34,70.534848
2.512197,31,71.557993
12.996816,240,72.150793
12.756166,240,72.783888
2.881224,49,73.326514
0.582518,31,73.921426
12.996816,240,74.554012
5.022986,92,75.10787
1.821976,31,75.671979
2.70582,44,76.209737
4.115612,71,76.785538
3.106355,53,77.330179
2.163009,29,77.89039
1.420272,31,78.424048
2.892965,49,78.997929
12.996816,240,79.620954
1.550702,34,80.159345
2.24019,31,80.742679
0.666737,38,81.278782
1.172582,38,81.845334
0.962987,36,82.378225
1.145798,37,82.912121
2.4289,31,83.444916
0.574842,30,83.97765
0.615906,28,84.510839
2.604703,43,85.049069
12.996816,240,86.115811
4.836824,102,86.669269
12.996816,240,87.25955
1.743894,30,87.797805
1.941914,33,88.332161
2.778687,35,88.866578
2.116453,34,89.400162
2.070654,48,89.938288
0.85206,32,90.466367
0.624946,30,90.999839
0.949098,35,91.538701
2.412482,62,92.077132
0.839913,36,92.619276
0.699219,32,93.151653
4.059368,69,93.697891
0.868002,35,94.236956
2.105259,41,94.772506
1.770476,30,95.302309
6.605578,119,95.862915
12.996816,240,96.468214
2.249015,34,97.005463
2.076229,30,97.537602
2.359666,38,98.074078
1.420663,39,98.60786
2.301271,33,99.139839
3.693752,77,99.726071
3.42108,63,100.271412
0.635173,30,100.807197
12.996816,240,102.617857
1.053575,35,103.160649
2.871922,46,103.702606
12.765511,240,104.80343
0.552883,34,105.346314
1.680542,29,105.911669
12.996816,240,106.51154
0.701502,31,107.079592
12.996816,240,107.709756
1.782684,40,108.249976
0.891517,36,108.782408
1.525937,38,109.350075
12.996816,240,109.929062
0.787072,32,110.515713
12.996816,240,111.10953
3.773359,64,111.693034
1.796971,28,112.233141
1.43407,40,112.819987
3.125128,52,113.357915
0.860658,34,113.91977
1.04601,34,114.452816
1.050371,37,115.020381
3.021579,30,115.55272
12.996816,240,116.183
0.592489,33,116.720365
2.406157,39,117.290553
1.275082,37,117.823242
1.929977,33,118.390242
1.513883,43,119.392531
2.483867,31,119.923354
2.769106,47,120.495331
1.051317,41,121.059736
0.817425,34,121.591255
1.140967,36,122.160928
1.346569,44,122.701897
0.703972,36,123.27696
12.996816,240,123.875465
1.34714,39,124.446283
1.716867,28,124.975636
2.592241,34,125.547258
0.912678,33,126.082751
1.091835,34,126.646723
1.683488,56,126.96955
12.996816,240,127.573894
2.341796,35,128.113526
2.242623,57,128.687594
12.996816,240,129.276872
2.239756,38,129.832591
12.996816,240,130.428012
3.170544,83,131.01395
12.996816,240,131.610806
0.711659,30,132.165391
12.996816,240,133.294281
1.846579,40,133.822851
0.423013,28,134.35051
1.15717,37,134.918858
12.996816,240,135.497053
0.882489,36,136.069671
0.529158,28,136.585005
3.787216,80,137.171141
1.448557,40,138.833146
12.996816,240,139.467168
1.757843,52,140.045231
3.725088,73,140.585908
0.717775,31,141.156215
1.792112,37,141.692041
0.913098,33,142.224578
0.265477,29,142.757512
3.29561,61,143.335745
12.996816,240,143.941378
1.482409,37,144.511571
0.700094,35,145.082425
0.594834,32,145.626803
12.996816,240,146.222432
2.34671,58,146.786015
9.620854,177,147.995543
2.311241,27,148.544472
12.996816,240,149.144934
1.470849,37,149.719582
0.548049,31,150.262867
12.996816,240,150.895026
3.698559,81,151.446225
