#{"t_start": 1775203236.0019689, "env_id": "None"}
r,l,t
2.485921,28,2.862439
0.631582,31,3.429033
1.213294,36,3.963932
1.736397,45,4.535733
0.691132,32,5.064661
12.996816,240,5.692332
0.643563,30,6.23131
3.244917,54,6.806993
12.996816,240,7.417007
1.552839,32,7.950559
1.91983,34,26.272824
0.439502,25,26.848274
12.996816,240,27.446965
2.684298,44,28.020069
1.328991,39,28.551752
12.996816,240,29.181062
0.992921,35,29.75181
1.253431,36,30.28599
1.610156,43,30.855123
3.071492,53,31.391879
0.576111,29,49.36146
0.625307,31,49.932956
2.592334,42,50.470045
1.338595,37,51.034374
12.996816,240,51.629819
0.287592,27,52.199307
0.603477,34,52.735098
1.985779,49,53.306212
0.775572,36,54.419363
0.973111,33,54.952847
2.729761,29,72.681713
3.340368,51,73.22392
0.76369,33,73.768064
2.255236,34,74.335095
0.758514,34,74.868779
0.7367,33,75.435686
3.591917,59,75.977666
0.96359,36,76.571145
12.996816,240,77.167943
2.575073,63,77.783542
1.160525,39,95.855727
0.532704,30,96.430689
2.152683,43,96.973603
0.483945,27,97.535316
12.996816,240,98.134216
12.996816,240,98.769292
4.297808,90,99.323516
12.996816,240,99.953068
1.490615,39,100.524903
1.390359,29,101.055121
2.285048,39,119.343724
0.562221,29,119.88635
0.710651,31,120.453945
2.398826,40,120.990992
2.292688,37,121.558496
2.412172,32,122.089088
0.5204,27,122.637925
1.881711,39,123.162395
2.499152,43,123.760515
2.408395,31,124.323921
12.996816,240,142.860083
0.899389,34,143.388969
12.996816,240,143.985913
2.004851,35,144.556978
0.691285,33,145.08992
1.693765,30,145.622575
12.996816,240,146.221032
3.548567,58,148.010971
1.496307,41,148.595685
0.665345,33,149.12675
0.644493,31,166.897747
0.683401,32,167.47368
12.996816,240,168.068163
2.465682,38,168.609696
2.496612,39,169.194317
1.87996,34,169.726581
2.278226,32,170.181358
1.945523,34,170.710162
1.029935,37,171.261022
1.354562,37,171.79542
12.996816,240,189.776854
1.661068,40,190.29483
3.012444,51,190.865483
2.911638,27,191.407955
1.736663,47,191.985567
0.775493,36,192.512354
0.599571,32,193.078083
0.718,34,193.612099
2.512197,31,194.700567
12.996816,240,195.33209
