#{"t_start": 1775204445.9770834, "env_id": "None"}
r,l,t
3.485921,28,3.044866
1.631582,31,3.561603
2.213294,36,4.129785
2.736397,45,4.666611
1.691132,32,5.229749
13.996816,240,5.824313
1.643563,30,6.397167
4.244917,54,6.971563
13.996816,240,7.579243
2.552839,32,8.132083
2.91983,34,26.700266
1.439502,25,27.261482
13.996816,240,27.895494
3.684298,44,28.434777
2.328991,39,28.932931
13.996816,240,29.528568
1.992921,35,30.099678
2.253431,36,30.633525
2.610156,43,31.203169
4.071492,53,31.741644
1.576111,29,49.913264
1.625307,31,50.481473
3.592334,42,51.068861
2.338595,37,51.599654
13.996816,240,52.229671
1.287592,27,52.767225
1.603477,34,53.335363
2.985779,49,53.872542
1.770884,36,54.986344
1.97425,33,55.552847
