#{"t_start": 1775204662.012896, "env_id": "None"}
r,l,t
3.485921,28,2.793278
1.631582,31,3.359959
2.213294,36,3.894506
2.736397,45,4.465201
1.691132,32,4.994749
13.996816,240,5.623444
1.643563,30,6.19488
4.244917,54,6.736417
13.996816,240,7.378134
2.552839,32,7.918199
2.91983,34,8.480869
1.439502,25,9.012149
13.996816,240,9.647824
3.684298,44,10.219249
2.328991,39,10.750797
13.996816,240,11.380367
1.992921,35,11.918224
2.253431,36,12.48518
2.610156,43,13.0211
4.071492,53,13.590982
1.576111,29,14.167108
1.625307,31,14.701612
3.592334,42,15.189215
2.338595,37,15.72098
13.996816,240,16.350337
1.287592,27,16.885087
1.603477,34,17.421243
2.985779,49,17.959411
1.770884,36,18.983562
1.97425,33,19.522996
3.569271,29,20.08815
4.340658,51,20.628573
1.763156,33,21.156432
3.253229,34,21.690447
1.759383,34,22.224691
1.733707,33,22.758307
4.591917,59,23.299624
1.974423,36,23.843023
13.996816,240,24.439507
3.377233,59,24.984718
13.996816,240,25.590274
1.702692,33,26.127111
1.918649,35,26.661716
1.720827,32,27.194371
1.9522,34,27.728433
2.740862,31,28.261658
13.780941,240,28.858197
13.996816,240,29.460275
2.814375,41,29.999302
2.716096,38,30.532109
3.286558,39,31.066407
13.996816,240,31.6615
13.996816,240,32.745441
2.671654,39,33.285524
3.942051,48,33.871324
3.194287,52,34.405778
13.996816,240,34.998492
3.43264,34,35.534949
2.979301,34,36.068447
4.950233,71,36.614086
13.996816,240,37.217131
2.082972,36,37.753625
1.878254,34,39.543439
2.349202,36,40.073694
1.988246,32,40.638715
1.748073,30,41.171226
1.715369,31,41.738648
4.541103,58,42.281727
6.343955,115,42.849749
1.929543,36,43.391647
1.962036,39,43.926349
2.15954,40,44.443585
1.415361,26,44.972953
4.02256,47,45.513282
3.383833,35,46.04293
1.917066,31,46.575755
3.930554,49,47.115271
2.976346,34,47.644457
2.675362,35,48.177988
2.268016,37,48.712439
13.996816,240,49.309161
2.833178,31,49.84525
2.695277,44,50.383765
1.970429,29,50.912067
2.185583,37,51.44819
2.367177,32,52.470801
13.996816,240,53.080398
2.112067,40,53.617662
3.038279,35,54.149667
13.996816,240,54.746287
2.530725,38,55.284815
4.082949,52,55.822643
1.584547,29,56.349594
13.996816,240,56.948126
2.988119,39,57.486832
2.774336,30,58.017767
4.052723,53,58.55884
3.120165,35,59.104071
2.959145,33,59.636636
3.457264,37,60.17139
3.517361,28,78.434277
3.102422,35,78.96969
2.85928,31,79.537077
3.999446,45,80.072894
3.165546,31,80.602218
1.648055,34,81.136838
3.935151,47,81.674767
2.875152,47,82.208456
4.016672,57,82.748806
4.09708,49,83.293267
13.996816,240,83.886297
1.728569,32,84.422302
3.563667,42,84.959353
13.996816,240,86.054709
1.994659,35,86.59229
4.808472,77,87.172247
1.673056,31,87.708378
1.430779,29,88.241455
3.692374,38,88.777945
2.716568,29,89.308595
1.823619,34,89.843463
3.18369,43,90.379936
13.996816,240,90.97526
1.952658,37,91.512485
13.996816,240,92.106669
